0.01,0.1
0.01,0.2
0.01,0.3
0.01,0.4
0.01,0.5
0.01,0.6
0.01,0.7
0.01,0.8
0.01,0.9
0.01,1.0
0.01,1.1
0.01,1.2
0.01,1.3
0.01,1.4
0.01,1.5
0.01,1.6
0.01,1.7
0.01,1.8
0.01,1.9
0.01,2.0
0.01,2.1
0.01,2.2
0.01,2.3
0.01,2.4
0.01,2.5
0.01,2.6
0.01,2.7
0.01,2.8
0.01,2.9
0.01,3.0
0.01,3.1
0.01,3.2
0.01,3.3
0.01,3.4
0.01,3.5
0.01,3.6
0.01,3.7
0.01,3.8
0.01,3.9
0.01,4.0
0.01,4.1
0.01,4.2
0.01,4.3
0.01,4.4
0.01,4.5
0.01,4.6
0.01,4.7
0.01,4.8
0.01,4.9
0.01,5.0
0.02,0.1
0.02,0.2
0.02,0.3
0.02,0.4
0.02,0.5
0.02,0.6
0.02,0.7
0.02,0.8
0.02,0.9
0.02,1.0
0.02,1.1
0.02,1.2
0.02,1.3
0.02,1.4
0.02,1.5
0.02,1.6
0.02,1.7
0.02,1.8
0.02,1.9
0.02,2.0
0.02,2.1
0.02,2.2
0.02,2.3
0.02,2.4
0.02,2.5
0.02,2.6
0.02,2.7
0.02,2.8
0.02,2.9
0.02,3.0
0.02,3.1
0.02,3.2
0.02,3.3
0.02,3.4
0.02,3.5
0.02,3.6
0.02,3.7
0.02,3.8
0.02,3.9
0.02,4.0
0.02,4.1
0.02,4.2
0.02,4.3
0.02,4.4
0.02,4.5
0.02,4.6
0.02,4.7
0.02,4.8
0.02,4.9
0.02,5.0
0.03,0.1
0.03,0.2
0.03,0.3
0.03,0.4
0.03,0.5
0.03,0.6
0.03,0.7
0.03,0.8
0.03,0.9
0.03,1.0
0.03,1.1
0.03,1.2
0.03,1.3
0.03,1.4
0.03,1.5
0.03,1.6
0.03,1.7
0.03,1.8
0.03,1.9
0.03,2.0
0.03,2.1
0.03,2.2
0.03,2.3
0.03,2.4
0.03,2.5
0.03,2.6
0.03,2.7
0.03,2.8
0.03,2.9
0.03,3.0
0.03,3.1
0.03,3.2
0.03,3.3
0.03,3.4
0.03,3.5
0.03,3.6
0.03,3.7
0.03,3.8
0.03,3.9
0.03,4.0
0.03,4.1
0.03,4.2
0.03,4.3
0.03,4.4
0.03,4.5
0.03,4.6
0.03,4.7
0.03,4.8
0.03,4.9
0.03,5.0
0.04,0.1
0.04,0.2
0.04,0.3
0.04,0.4
0.04,0.5
0.04,0.6
0.04,0.7
0.04,0.8
0.04,0.9
0.04,1.0
0.04,1.1
0.04,1.2
0.04,1.3
0.04,1.4
0.04,1.5
0.04,1.6
0.04,1.7
0.04,1.8
0.04,1.9
0.04,2.0
0.04,2.1
0.04,2.2
0.04,2.3
0.04,2.4
0.04,2.5
0.04,2.6
0.04,2.7
0.04,2.8
0.04,2.9
0.04,3.0
0.04,3.1
0.04,3.2
0.04,3.3
0.04,3.4
0.04,3.5
0.04,3.6
0.04,3.7
0.04,3.8
0.04,3.9
0.04,4.0
0.04,4.1
0.04,4.2
0.04,4.3
0.04,4.4
0.04,4.5
0.04,4.6
0.04,4.7
0.04,4.8
0.04,4.9
0.04,5.0
0.05,0.1
0.05,0.2
0.05,0.3
0.05,0.4
0.05,0.5
0.05,0.6
0.05,0.7
0.05,0.8
0.05,0.9
0.05,1.0
0.05,1.1
0.05,1.2
0.05,1.3
0.05,1.4
0.05,1.5
0.05,1.6
0.05,1.7
0.05,1.8
0.05,1.9
0.05,2.0
0.05,2.1
0.05,2.2
0.05,2.3
0.05,2.4
0.05,2.5
0.05,2.6
0.05,2.7
0.05,2.8
0.05,2.9
0.05,3.0
0.05,3.1
0.05,3.2
